Question,Answer,Q_Timestamp,A_Timestamp,QA_Index,year,quarter,assertive_expected_value,assertive_cumulative_tone,assertive_change_point,cautious_expected_value,cautious_cumulative_tone,cautious_change_point,optimistic_expected_value,optimistic_cumulative_tone,optimistic_change_point,specific_expected_value,specific_cumulative_tone,specific_change_point,clear_expected_value,clear_cumulative_tone,clear_change_point,relevant_expected_value,relevant_cumulative_tone,relevant_change_point
"And there are no further questions in queue, so at this time I would now like to turn it back over to Helen Johnson-Leopold.","Thanks, everyone, for joining us, and we hope you have a great day.",806.274,813.164,6,2021,2,0.112,1.559,0,-0.046,-0.3639999999999997,0,0.077,0.8729999999999999,0,-0.172,0.6279999999999999,0,0.543,4.002,0,0.561,4.85,0
"Thank you, and good morning, everyone. So, you know, certainly you've seen a strong demand, as you've noted here. Just wondering, what are the inventory levels that your key retailers like now that you're, you know, winding down the season? Just wanted to get a better sense of that.","Well, our inventory levels have been very stressed this whole season just because the demand is high. So I would say that",631.773,641.798,1,2021,3,0.263,0.263,0,-0.075,-0.075,0,0.269,0.269,0,0.073,0.073,0,0.7060000000000001,0.7060000000000001,0,0.956,0.956,0
"um they are they are below normal uh and we continue you know to to make as much product as possible got it okay and so at the retail level would you say they're also below normal as well yeah i think um across the board that's true got it okay that's that's uh all right thanks for that so um you know so just wondering so what the delta variant uh certainly disrupting things last few weeks here. Just wondering, have you guys seen any recently, any notable changes to end user demand as far as buying patterns?","You know, so far we have not seen a reaction to that at all, but, you know, it's still early. So, you know, we'll be monitoring that.",684.644,695.97,2,2021,3,0.121,0.384,0,-0.0549999999999999,-0.1299999999999999,0,-0.0129999999999999,0.2560000000000001,0,-0.124,-0.051,0,0.871,1.577,0,0.942,1.898,0
"Got it. Okay. Thanks. And then regarding the supply chain, certainly understand all the issues there. As far as air freight, you did call that out in the press release. Just wondering if you could just comment on how much of that was an impact in the quarter, and how do you see usage of air freight versus ocean freight here going forward?","Yeah, it's one of the strategies we've employed to kind of battle the container shortage and the lead time issues we're seeing on the components coming from Asia. So, I mean, we've always used air freight a little bit here and there historically, but it's just much more pronounced this year. And it's probably, you know, it probably impacted our margin, you know, modestly compared to the cost of goods sold inputs. It was, you know, kind of compared to that. So, And we'll continue to look to use that strategy in the future as things kind of continue to be challenging.",725.714,763.698,3,2021,3,0.309,0.6930000000000001,0,-0.07,-0.1999999999999999,0,0.033,0.2890000000000001,0,0.372,0.321,0,0.879,2.456,0,0.948,2.846,0
"Got it. Okay. And then in terms of labor costs or any other cost issues, I know you called that higher health care costs. I don't know if that was a one-off quarter here, but if you could just comment on any cost issues that you expect that would be different than what you've seen? In your term, kind of what you're thinking here versus maybe what you were thinking at the beginning of the fiscal year?","Yeah, I'm hoping the health care is a one-off thing just because there's no activity in prior year's quarter. And in terms of the labor inputs, I mean, there's pressure there. I think we're doing okay so far with that, but I think as we look into next year, that'll be another factor that we'll consider in our strategies, you know, the wage rate and what happens there.",793.253,814.685,4,2021,3,0.223,0.916,0,-0.066,-0.2659999999999999,0,0.147,0.4360000000000001,0,0.169,0.49,0,0.7110000000000001,3.1670000000000003,0,0.953,3.799,0
"Got it. OK. Two more questions for me. So you mentioned, Helen, about the fishing segment that you've been able to certainly increase your sales nicely to both existing anglers and new anglers. So just wondering if you could give us maybe some more data or maybe some more insight as to what you've seen as far as participation rate, as far as new participants into the segments?","You know, it's a little, the participation data, there's a lag time in getting that information. We know that it is up. And, you know, really to get our arms around that, you know, we have to wait until we get the data. But, you know, some of them are short-term, but we do feel some are longer-term. But, you know, we'll see how it all plays out. Certainly there was a lot of existing fishermen that were in the market buying equipment given, you know, what was going on with the pandemic. So it was a mix of both.",849.281,894.407,5,2021,3,0.381,1.2970000000000002,0,-0.073,-0.3389999999999999,0,0.157,0.5930000000000001,0,0.0549999999999999,0.5449999999999999,0,0.7889999999999999,3.956,0,0.952,4.751,0
"Got it. Okay. And then as far as your cash flow priorities, can you talk about what you're looking to do as far as with all the cash that you've been accumulating on the balance sheet?","Yeah, the first priority is to grow the business, and so that's what we're looking to do with the cash. A piece of that is M&A. A piece of that is investing in organic growth, so those are both key for us. We'll continue to do that. We're You know, we've talked about the fact that we're very active out there, and we are. We continue to look at a lot of different things. But with our strategy, it's pretty discerning. And so that tends to, you know, put a filter on what we're actually excited about. So that's kind of the key thing for us. And then beyond that, you know, we'll continue to look to grow the dividend, hopefully the regular dividend, and we look at alternate use of the cash market. continually. And so those are always options that we could look at.",908.022,958.489,6,2021,3,0.5,1.7970000000000002,0,-0.072,-0.4109999999999999,0,0.304,0.8970000000000001,0,0.158,0.703,0,0.897,4.853,0,0.958,5.709,1
"Right. Okay. And then just to follow up about that, you know, as far as a dividend, as far as a special dividend, is that something you guys have looked at or just wanted to get your thoughts on that?","Yeah. I mean, that's part of the, you know, the alternate use of cash strategy that we look at. And we have looked at buybacks and specials. and we'll continue to look at that as potential uses of cash, no doubt about it.",973.092,987.319,7,2021,3,0.231,2.028,0,-0.0739999999999999,-0.4849999999999997,0,0.035,0.9320000000000002,0,-0.137,0.566,0,0.7969999999999999,5.65,0,0.969,6.678,0
There are no further questions. I will now turn the call over to Helen Johnson-Leopold for closing remarks.,"Thanks, everyone, for joining us. I hope you have a great day.",1000.744,1006.506,8,2021,3,0.17,2.198,0,-0.059,-0.5439999999999998,0,0.095,1.027,0,-0.1389999999999999,0.427,0,0.471,6.121,0,0.411,7.089,0
"Yes, good morning, and thank you for taking the questions. So, yeah, first I just wanted to follow up. You know, Dave, you mentioned that the current demand outlook is healthy. Are you seeing that across the board in all your categories, or does one – particular categories stand out versus others?","You know, I'll take that question. We are definitely seeing, you know, strong demand still across the board. I would say with the diving is the one that is a little less consistent, but we see positive upward movement in that business. But, you know, as far as we can tell in, you know, we have we certainly have our shipment data, but we get a limited amount of point of purchase data. But as far as we can tell, the demand is still very healthy across the other three businesses and growing in diving.",616.445,654.778,1,2021,4,0.436,0.436,0,-0.0679999999999999,-0.0679999999999999,0,0.587,0.587,0,0.393,0.393,0,0.861,0.861,0,0.969,0.969,0
"Got it. Okay. And is the diving, is that perhaps because of the new variant for COVID or is that something else you think?","No, I, well, I think we are still the aftermath of COVID in general would shut down travel, and that's a very travel-sensitive business. But we've got programs going for local diving, and we are launching some new products as well, which tend to help us gain some volume and break through some of the negative pressure that's resulting from COVID. So we feel good that we will continue to see some rebound in that business.",663.626,698.076,2,2021,4,0.361,0.7969999999999999,0,-0.072,-0.1399999999999999,0,0.645,1.232,0,0.133,0.526,0,0.898,1.759,0,0.951,1.92,0
"Okay, that's great to hear. And then which segments should we expect to see the most margin pressure? You know, again, is it kind of across the board or does one category kind of stand out where you think you'll see a hit to margins more so than the others?","You know, I would say it's across the board. I mean, where we are importing Product tends to have more pressure, but we tend to kind of do that across the board. So we're importing electronic components, and we're sourcing some finished good product from Asia. Those tend to have the most pressure on them. But that's a long answer, but I think it's pretty much across the board.",717.85,741.257,3,2021,4,0.29,1.087,0,-0.071,-0.2109999999999998,0,0.0069999999999999,1.239,0,0.25,0.776,0,0.7190000000000001,2.478,0,0.888,2.808,0
"Got it. Okay. And have you done any price increases, or do you plan to do price increases to offset some of these headwinds?","Yeah, I mean, we're looking at everything, and, yes, we have taken price increases to help offset. It's a pretty dynamic environment, so we continue to evaluate that, and we won't be afraid to continue to take appropriate actions where necessary.",751.2,766.982,4,2021,4,0.244,1.331,0,-0.0639999999999999,-0.2749999999999998,0,0.075,1.3139999999999998,0,-0.0109999999999999,0.7650000000000001,0,0.752,3.23,0,0.935,3.743,0
Got it. Okay. And then do you have a sense as to what the inventory levels are at retail?,"You know, I – we – you know, it continues to be a thin inventory level because, you know, the demand is significantly, you know, higher than it has been historically. So we've got, you know, still a lot of room to grow and pipeline to fill.",774.607,796.981,5,2021,4,0.221,1.552,0,-0.075,-0.3499999999999997,0,0.0779999999999999,1.3919999999999997,0,0.0219999999999999,0.787,0,0.836,4.066,0,0.97,4.713,0
"Got it. Okay. That's great to hear. And then, you know, lastly, just a quick housekeeping question here. So you mentioned the tax rate will be in the mid-20s. Should that you know, vary much throughout the year or kind of, you know, more or less you think you'll be consistent? And then second part to that housekeeping question is just what you expect for CapEx for fiscal 22.","Yeah, for the tax rate, I mean, it's hard to say quarter by quarter just because the profitability varies so much seasonally, usually. So that's a difficult one to answer. But, you know, mid-20s is probably a fair bet on that. For CapEx, yeah, we ended this year at about 21 and change in CapEx. I would expect that to increase next year as we add capacity. It could be up, you know, 30% to 40% versus this year.",821.256,853.804,6,2021,4,0.301,1.853,0,-0.0699999999999999,-0.4199999999999997,0,0.193,1.5849999999999995,0,0.8079999999999999,1.595,0,0.834,4.9,0,0.97,5.683,0
"Again, if you would like to ask a question, please press star then 1 on your touchtone telephone. Again, to ask a question, please press star then 1. I'm showing no further questions at this time. I would like to turn the call back over to Helen Johnson-Leopold for any closing remarks.","Okay. Well, thanks, everyone, for joining us, and I hope you have a great holiday season.",884.038,891.381,7,2021,4,0.1949999999999999,2.048,0,-0.059,-0.4789999999999996,0,0.103,1.6879999999999995,0,-0.067,1.528,0,0.547,5.447,0,0.813,6.496,0
It is now my pleasure to turn the call over to Helen Johnson-Leopold.,"Good morning and thank you for joining us. Dave will review financial highlights and then we'll take your questions. We have an exceptional year. The award-winning Mega Live imaging system also launched in Ice Helix 9 this year, joining our popular Mega360 imaging technology. Demand for Eureka Camp cooking technology continues to beat expectations, and in jet fuel, consumers continue to be excited about our super light stash stove that we launched earlier this year. Finally, in our dining business, we start to see markets begin to recover from pandemic-related restrictions in the latter half of the fiscal year. Dining at a strong fiscal fourth quarter, Our work to promote and support local diving as well as enhance our global digital presence and strengthen e-commerce are all working to help this positive growth. Our ongoing hard work on these priorities ensures that our portfolio of market-leading brands is well positioned for success and that we continue to deliver sustained, profitable, long-term growth for Johnson Outdoors.",2002.391,2364.874,8,2021,4,0.51,2.558,0,-0.063,-0.5419999999999997,0,0.62,2.308,0,0.371,1.899,0,0.913,6.36,0,0.925,7.421,0
"Yes, good morning, and thank you for taking the questions. So, yeah, first I just wanted to follow up. Dave, you mentioned that the current demand outlook is healthy. Are you seeing that across the board in all your categories, or does one – particular category stand out versus others?","You know, I'll take that question. We are definitely seeing, you know, strong demand still across the board. I would say with the diving is the one that is a little less consistent, but we see positive upward movement in that business. But, you know, as far as we can tell in, you know, we have We certainly have our shipment data, but we get a limited amount of point-of-purchase data. But as far as we can tell, the demand is still very healthy across the other three businesses and growing in diving.",2519.998,2558.31,9,2021,4,0.429,2.987,0,-0.067,-0.6089999999999997,0,0.585,2.893,0,0.099,1.998,0,0.862,7.222,0,0.967,8.388,0
"Got it. Okay. And is the diving, is that perhaps because of the new variant for COVID, or is that something else you think?","No. Well, I think we are still the aftermath of COVID in general would shut down travel, and that's a very travel-sensitive business. But we've got programs going for local diving, and we are launching some new products as well, which tend to help us gain some volume and break through some of the negative pressure that's resulting from COVID. So we feel good that we will continue to see some rebound in that business.",2567.157,2601.608,10,2021,4,0.365,3.352,0,-0.0699999999999999,-0.6789999999999996,0,0.644,3.537,0,0.1999999999999999,2.198,0,0.889,8.111,0,0.936,9.324,0
"Okay, that's great to hear. And then which segments should we expect to see the most margin pressure? You know, again, is it kind of across the board or does one category kind of stand out where you think you'll see a hit to margins more so than the others?","You know, I would say it's across the board. I mean, where we are importing product tends to have more pressure, but we tend to kind of do that across the board. So we're importing electronic components, and we're sourcing some finished good product from Asia. Those tend to have the most pressure on them. But that's a long answer, but I think it's pretty much across the board.",2621.379,2644.808,11,2021,4,0.288,3.64,1,-0.071,-0.7499999999999996,0,0.006,3.543,1,0.25,2.448,0,0.7190000000000001,8.83,0,0.888,10.212,0
"Got it. Okay. And have you done any price increases, or do you plan to do price increases to offset some of these headwinds?","Yeah, I mean, we're looking at everything, and, yes, we have taken price increases to help offset. It's a pretty dynamic environment, so we continue to evaluate that, and we won't be afraid to continue to take appropriate actions where necessary.",2654.73,2670.512,12,2021,4,0.244,3.884,0,-0.0639999999999999,-0.8139999999999995,0,0.075,3.618,0,-0.0109999999999999,2.437,0,0.752,9.582,0,0.935,11.147,0
Got it. Okay. And then do you have a sense as to what the inventory levels are at retail?,"You know, I – we – you know, it continues to be a thin inventory level because, you know, the demand is significantly, you know, higher than it has been historically. So we've got, you know, still a lot of room to grow and pipeline to fill.",2678.137,2700.523,13,2021,4,0.221,4.105,0,-0.075,-0.8889999999999995,0,0.0779999999999999,3.696,0,0.0219999999999999,2.459,0,0.836,10.418,0,0.97,12.117,0
"Got it. Okay. That's great to hear. And then, you know, lastly, just a quick housekeeping question here. So you mentioned the tax rate will be in the mid-20s. Should that you know, vary much throughout the year or kind of, you know, more or less you think you'll be consistent? And then second part to that housekeeping question is just what you expect for CapEx for fiscal 22.","Yeah, for the tax rate, I mean, it's hard to say quarter by quarter just because the profitability varies so much seasonally, usually. So that's a difficult one to answer. But, you know, mid-20s is probably a fair bet on that. For CapEx, yeah, we ended this year about 21 and change in CapEx. I would expect that to increase next year as we add capacity. It could be up, you know, 30% to 40% versus this year.",2724.788,2757.34,14,2021,4,0.297,4.402,0,-0.0689999999999999,-0.9579999999999994,0,0.175,3.871,0,0.868,3.327,0,0.829,11.247,0,0.97,13.087,0
"Again, if you would like to ask a question, please press 5 and 1 on your touchtone telephone. Again, to ask a question, please press star then 1. I'm showing no further questions at this time. I would like to turn the call back over to Helen Johnson-Leopold for any closing remarks.","Okay. Well, thanks, everyone, for joining us, and I hope you have a great holiday season.",2787.558,2794.924,15,2021,4,0.2019999999999999,4.604,0,-0.059,-1.0169999999999997,0,0.107,3.978,0,-0.071,3.256,0,0.5650000000000001,11.812,0,0.851,13.938,0
