tic,year,quarter,timestamp_Q,timestamp_A,timestamp_et_q_start,timestamp_et_q_end,timestamp_et_a_start,timestamp_et_a_end,section,speaker_name_Q,speaker_title_Q,question_text,speaker_name_A,speaker_title_A,answer_text,assertive_label,assertive_score,cautious_label,cautious_score,optimistic_label,optimistic_score,specific_label,specific_score,clear_label,clear_score,relevant_label,relevant_score,sent_section_id,qa_assertive_signed,qa_cautious_signed,qa_optimistic_signed,qa_specific_signed,qa_clear_signed,qa_relevant_signed,qa_assertive_cumulative,qa_cautious_cumulative,qa_optimistic_cumulative,qa_specific_cumulative,qa_clear_cumulative,qa_relevant_cumulative,qa_assertive_sentence_level_CP,qa_cautious_sentence_level_CP,qa_optimistic_sentence_level_CP,qa_specific_sentence_level_CP,qa_clear_sentence_level_CP,qa_relevant_sentence_level_CP
TRV,2021,1,2778.966,2896.008,2021-04-20 09:45:12.102000-04:00,2021-04-20 09:46:18.966000-04:00,2021-04-20 09:46:18.966000-04:00,2021-04-20 09:48:16.008000-04:00,QA,Mike Naremski,"Analyst, Credit Suisse","Craig, good morning. Maybe sticking with business insurance, you gave us some nuggets about kind of recent loss trend. I think you said there might have been a slight benefit, workers' comps trending a little better than um, than expected. And I know you guys don't, you know, for longer tail lines, you probably don't want to take a lot of good news in the near term, but, um, maybe you can kind of give us a sense and other commercial long tail lines. Are you, are you, you know, are, are you seeing a frequency benefit or a severity benefit of kind of, um, has the, has the world in terms of the kind of the courts kind of gotten back to normal or maybe even, more than normal in the digital age, Zoom age. So kind of curious if you can give us some kind of color on the near-term loss trends you've been seeing in commercial long-tail lines.",Dan Fry,Chief Financial Officer,"Sure, Mike. It's Dan. So I'll take that maybe in a couple of parts. On the court and question and sort of that activity, you know, I'd say we see that to continue to be pretty slow. We talked about it last year in terms of there's definitely a change in the data from the fact that courts were closed for a long time and other settlement venues have been less active. And I think that continues. And I think we'll probably take a while to work through what could be the backlog there. So what we've done in terms of both our view of current accident year and prior accident year reserve adequacy is to assume that nothing really has changed. So the data might tell you that things look a little bit favorable. We're not really going to react to that. Our assumption is that once things do get back to normal, ultimately what we're going to see is social inflation at the levels and the trends that we've seen it before. lost cost trend at the elevated rate that we talked about, you know, even in the second quarter of last year, and that ultimately these things will all settle out in reflection of those levels. So to the degree that, you know, we talked about some favorability last year, and we have some favorability in prior year reserve development this year, A lot of that is frequency driven where the losses themselves have simply not emerged. But from a severity perspective, we're still going to take the view that we think that severity pressure has not really gone away. And that's one of the reasons that you see us continuing to pursue rate and business insurance to the degree that we are.",positive,0.523,neutral,0.6,neutral,0.464,positive,0.933,positive,0.866,positive,0.978,11,0.523,0.0,0.0,0.933,0.866,0.978,5.691,0.0,2.593,8.946,9.545,10.536999999999999,0,0,0,0,0,0
TRV,2021,1,2922.162,2967.334,2021-04-20 09:48:16.008000-04:00,2021-04-20 09:48:42.162000-04:00,2021-04-20 09:48:42.162000-04:00,2021-04-20 09:49:27.334000-04:00,QA,Mike Naremski,"Analyst, Credit Suisse","Okay. That's very helpful. And my follow-up is probably for Dan on the investment portfolio. I'm curious if you can update us on approximate new money yields and the fixed income portfolio versus the expiring portfolio yield. So, you know, there's been a pickup in interest rates, but I believe there's still a gap there that you guys are trying to overcome.",Dan Fry,Chief Financial Officer,"Yeah, Mike, there is still a gap. So it's just it's a little less than than it was. You know, last quarter we were talking about that gap being maybe, you know, 150 basis points. Now maybe it's closer to 90 or 100 basis points, but it's still a negative. And a reminder, just, you know, the portfolio turns over slowly enough that even when we factored in the current environment, that didn't actually change because we gave you a $10 million range around our quarterly view of, fixed income NII on a go forward basis. So it moved to the needle, but only very, very modestly. Still a gap. So yeah, new money yields still below what's maturing out of the portfolio.",positive,0.497,neutral,0.682,neutral,0.84,positive,0.919,positive,0.868,positive,0.977,12,0.497,0.0,0.0,0.919,0.868,0.977,6.188,0.0,2.593,9.865,10.413,11.514,0,0,0,0,0,0
TRV,2021,1,2987.55,3022.128,2021-04-20 09:49:27.334000-04:00,2021-04-20 09:49:47.550000-04:00,2021-04-20 09:49:47.550000-04:00,2021-04-20 09:50:22.128000-04:00,QA,Brian Meredith,"Analyst, UBS","Yeah, thank you. A couple of just quick ones here. First, I'm just curious, could you comment on workers' compensation insurance? As we start to see payrolls increasing here, should that have a positive benefit on margins?",Greg Teslowski,"President, Business Insurance","Hey, Brian. Good morning. This is Greg. The short answer on that is yes. And we saw that this quarter, as Alan said, you know, on an RPC basis, workers' comp was up. And obviously, we don't project where exposure is going to go long term. But we have shared with you that we are a broad solution of the economy. So as the economy, you know, hopefully corrects and improves, you know, we'll see positive in payroll, mostly from new employees and chairs. And certainly we'll see some of that on the GL side with sales receipts increasing also.",positive,0.547,neutral,0.731,positive,0.67,neutral,0.538,positive,0.868,positive,0.953,13,0.547,0.0,0.67,0.0,0.868,0.953,6.735,0.0,3.263,9.865,11.281,12.466999999999999,0,0,0,0,0,0
TRV,2021,1,3027.411,3075.695,2021-04-20 09:50:22.128000-04:00,2021-04-20 09:50:27.411000-04:00,2021-04-20 09:50:27.411000-04:00,2021-04-20 09:51:15.695000-04:00,QA,Brian Meredith,"Analyst, UBS","Right, which favorably impacts margins, not just top line.",Alan Schnitzer,Chairman and CEO,"Yeah, Brian, margins to the ??you get two pieces of exposure coming through. One could be more workers, for which there's not really an expected margin benefit related to that in and of itself to the degree that wages go up and wages ??more premium for effectively the same risk, that's when we have historically said a portion of exposure can behave like rate. That's where you see that. So it's a little bit of both. To the degree that workers are being added to the payroll, that brings with it additional risk. Higher wages bring higher exposure as well. And obviously, as volumes go up, regardless of which of those it comes from, you get some expense leverage.",positive,0.503,neutral,0.648,neutral,0.824,positive,0.705,positive,0.871,positive,0.973,14,0.503,0.0,0.0,0.705,0.871,0.973,7.2379999999999995,0.0,3.263,10.57,12.152,13.44,0,0,0,0,0,0
TRV,2021,1,3107.189,3134.859,2021-04-20 09:51:15.695000-04:00,2021-04-20 09:51:47.189000-04:00,2021-04-20 09:51:47.189000-04:00,2021-04-20 09:52:14.859000-04:00,QA,Brian Meredith,"Analyst, UBS","Makes sense. And then can I just focus a little bit on the premium in business insurance? Workers' Comp, I understand, also saw CMP continue to be down. Is that just purely related to what's going on from the economic activity? Or are there other things that are going on right now where you're culling your portfolio, underwriting initiatives or stuff that are potentially pressuring that top line? And perhaps are there any kind of programs in place to kind of recharge that growth at some point?",Greg Teslowski,"President, Business Insurance","Yeah, Brian, this is Greg. Really, two drivers in that. And the first one, you know, I mentioned in my prepared comments, we've really been trying to prove the profitability of that book. And you can see that with the RPC increase in five points over the last five quarters. And so that's the primary driver. But we are still feeling the COVID impact flow overall in terms of submissions from the volume from our agents is down also. But I would also say that's a secondary",positive,0.51,neutral,0.61,neutral,0.574,negative,0.405,positive,0.861,positive,0.887,15,0.51,0.0,0.0,-0.405,0.861,0.887,7.748,0.0,3.263,10.165000000000001,13.013,14.327,0,0,0,1,0,0
TRV,2021,1,3161.304,3197.406,2021-04-20 09:52:14.859000-04:00,2021-04-20 09:52:41.304000-04:00,2021-04-20 09:52:41.304000-04:00,2021-04-20 09:53:17.406000-04:00,QA,Analyst (spk12),Analyst,"Good morning, everybody. My first question is in personal lines. Can you talk about the uptick in the expense ratio, considering that premiums earned were up quite a bit, where I thought maybe it would remain a bit flatter? Where are you investing there?",Michael Klein,"President, Personal Insurance","Sure, this is Michael. The uptick in the expense ratio really is volume-related costs. Think commission, think report ordering. We do continue to make investments in the business and increase our investment level slightly, but really the driver of the uptick in the expense ratio is just volume-related costs in the business. And I wouldn't pay too much attention to a one-quarter change. You know, in expenses, you know, we still feel good about the expense ratio, the efficiency in the business.",positive,0.541,neutral,0.653,neutral,0.503,neutral,0.44,positive,0.832,positive,0.972,16,0.541,0.0,0.0,0.0,0.832,0.972,8.289,0.0,3.263,10.165000000000001,13.845,15.299,0,0,0,0,0,0
TRV,2021,1,3224.255,3266.887,2021-04-20 09:53:17.406000-04:00,2021-04-20 09:53:44.255000-04:00,2021-04-20 09:53:44.255000-04:00,2021-04-20 09:54:26.887000-04:00,QA,Analyst (spk12),Analyst,"Okay. And then my second question, in bond and specialty, I was just curious about the comment that, you know, new business declined due to discipline. I'm just trying to kind of wed that with the fact that management liability rates are near all-time highs. I would have thought that even with discipline, you'd have more opportunities to write new business. Do you maybe talk about the dynamics there?",Tom Kunkel,"President, Bond and Specialty Insurance","Well, you know, the new business flow is actually up. But when you think of some of the lines that we write, the situation we've been through, economically speaking, can create more risk. So think of things like employment practices, liability. Think about some of the trends that have been in place. for public company D&O. So there are a number of things going on that at this point in time, it makes sense to really be prudent about the risk you're selecting. And we really actually feel quite comfortable with where our new business is coming in.",positive,0.563,neutral,0.666,positive,0.612,neutral,0.446,positive,0.829,positive,0.806,17,0.563,0.0,0.612,0.0,0.829,0.806,8.852,0.0,3.875,10.165000000000001,14.674,16.105,0,0,0,0,0,0
TRV,2021,1,3292.789,3299.871,2021-04-20 09:54:26.887000-04:00,2021-04-20 09:54:52.789000-04:00,2021-04-20 09:54:52.789000-04:00,2021-04-20 09:54:59.871000-04:00,QA,Tracy Bengui,"Analyst, Barclays",And I just wanted to follow up on BI rates. Is there seasonality in your first quarter business mix? I realize that workers' comp renews on 1-1. So I'm just wondering if that might be impacting your rate story for this quarter versus last.,Greg Teslowski,"President, Business Insurance","There's a little bit more workers' comp in this quarter than typically, but not a meaningful amount.",neutral,0.567,neutral,0.71,neutral,0.915,neutral,0.722,positive,0.833,positive,0.956,18,0.0,0.0,0.0,0.0,0.833,0.956,8.852,0.0,3.875,10.165000000000001,15.507,17.061,0,0,0,0,0,0
TRV,2021,1,3326.273,3378.06,2021-04-20 09:54:59.871000-04:00,2021-04-20 09:55:26.273000-04:00,2021-04-20 09:55:26.273000-04:00,2021-04-20 09:56:18.060000-04:00,QA,Tracy Bengui,"Analyst, Barclays","Okay. And then can we also talk about the Child Victim Act? more broadly than just the Boy Scout Association that's getting a lot of attention. In our research, we saw that 31 states introduced new statute of limitation reform bills. And you commented in the past on New York, but wondering how you feel about the strength of your reserves in light of potentially higher reviver cases beyond New York.",Dan Fry,Chief Financial Officer,"Yeah, Tracy, it's Dan. I think we were very, very early to... to tackle Child Victims Act stuff. Remember, we took our charge related to New York in the first quarter of 2019, so I think pretty far ahead of the market. We've been very cognizant of abuse, molestation, and CVA-type exposures. as you would imagine, you know, staying very up to speed on developments and potential developments, not only across the state, but with stories like Boy Scouts. We're very cognizant of our exposures and what the latest news may mean for those exposures, and we continue to be quite comfortable with how those things are reflected in our reserves.",positive,0.537,neutral,0.663,neutral,0.552,positive,0.772,positive,0.884,positive,0.951,19,0.537,0.0,0.0,0.772,0.884,0.951,9.389,0.0,3.875,10.937,16.391,18.012,0,0,0,0,0,0
TRV,2021,1,3387.726,3393.245,2021-04-20 09:56:18.060000-04:00,2021-04-20 09:56:27.726000-04:00,2021-04-20 09:56:27.726000-04:00,2021-04-20 09:56:33.245000-04:00,QA,Tracy Bengui,"Analyst, Barclays","If I could just sneak in, would you be willing also to enter into a settlement on the Boy Scout, similar to one of your competitors?",Dan Fry,Chief Financial Officer,So I think we'll comment on any specific matter.,neutral,0.685,neutral,0.744,neutral,0.926,neutral,0.737,positive,0.58,neutral,0.483,20,0.0,0.0,0.0,0.0,0.58,0.0,9.389,0.0,3.875,10.937,16.971,18.012,0,0,0,0,1,1
TRV,2021,1,3410.541,3414.184,2021-04-20 09:56:33.245000-04:00,2021-04-20 09:56:50.541000-04:00,2021-04-20 09:56:50.541000-04:00,2021-04-20 09:56:54.184000-04:00,QA,Meyer Shields,"Analyst, KBW","Great, thanks. Tom, in your comments you mentioned, I guess, other losses of the category within the segment, and I was hoping to ask why on that a little.",Tom Kunkel,"President, Bond and Specialty Insurance","I'm sorry, I couldn't hear the last part of the question.",neutral,0.672,neutral,0.732,neutral,0.918,negative,0.483,positive,0.551,positive,0.587,21,0.0,0.0,0.0,-0.483,0.551,0.587,9.389,0.0,3.875,10.454,17.522,18.599,0,0,0,0,0,1
TRV,2021,1,3423.903,3454.804,2021-04-20 09:56:54.184000-04:00,2021-04-20 09:57:03.903000-04:00,2021-04-20 09:57:03.903000-04:00,2021-04-20 09:57:34.804000-04:00,QA,Meyer Shields,"Analyst, KBW","I hope you could flesh out what you were talking about, the underlying loss ratio in bond and specialty. You mentioned something about other losses, but I'm not sure what you were referring to.",Tom Kunkel,"President, Bond and Specialty Insurance","Yeah, so the other losses, you know, we are having some elevated COVID losses versus the first quarter last year. So that's a significant piece of it. And then you typically have various miscellaneous things as well as things like mix issues. And so in this particular case, we had some cyber claims this quarter, and those actually hit our numbers a little bit. But generally, it was COVID and a variety of other things.",neutral,0.414,neutral,0.74,neutral,0.878,neutral,0.434,positive,0.866,positive,0.976,22,0.0,0.0,0.0,0.0,0.866,0.976,9.389,0.0,3.875,10.454,18.387999999999998,19.575,0,0,0,0,1,0
