tic,year,quarter,timestamp_p,section,section_id,speaker_name_P,speaker_title_P,presentation_text,finberttone_expected_value,finberttone_cumulative_tone,finberttone_change_point
RFIL,2021,1,317.455,Pre,48,Rob Dawson,President and Chief Executive Officer,"Really, the story of the quarter was that a few delayed shipments dragged on our results, as some orders in the Tier 1 carrier space that we had expected would ship during the quarter were delayed in the last couple of weeks of January.",-0.999997848,-1.934040032,0
RFIL,2021,1,324.414,Pre,49,Rob Dawson,President and Chief Executive Officer,"Had these orders shipped, our revenue in Q1 would have been close to last quarter as expected.",-0.003723871,-1.937763902,0
RFIL,2021,1,326.355,Pre,50,Rob Dawson,President and Chief Executive Officer,So it's really about timing.,-8.92E-05,-1.937853092,0
RFIL,2021,1,331.677,Pre,51,Rob Dawson,President and Chief Executive Officer,"With numbers like ours, small movements in shipping dates can cause short-term results to move around wildly.",-0.954743812,-2.892596905,0
RFIL,2021,1,335.159,Pre,52,Rob Dawson,President and Chief Executive Officer,Our results are much easier to understand with a long-term view.,0.272127353,-2.620469551,0
RFIL,2021,1,345.143,Pre,53,Rob Dawson,President and Chief Executive Officer,"One other note, despite having fewer business days in the quarter, our daily shipment average in Q1 was identical to our daily shipment average in Q4.",-7.83E-05,-2.620547805,0
RFIL,2021,1,350.286,Pre,54,Rob Dawson,President and Chief Executive Officer,"In other words, we continued to ship at healthier levels than where we were in the middle of last year.",0.999999811,-1.620547994,0
RFIL,2021,1,359.082,Pre,55,Rob Dawson,President and Chief Executive Officer,"Now versus continuing to talk about the obvious challenges that have slowed us down in our turnaround and growth, let's turn the page and talk about where we're heading.",-0.986038352,-2.606586347,0
RFIL,2021,1,371.144,Pre,56,Rob Dawson,President and Chief Executive Officer,"From a booking perspective, the good news is we're starting to see increased demand and positive momentum around new business, as evidenced by our improved bookings in the quarter and the related growth in our backlog.",0.999999996,-1.606586351,1
RFIL,2021,1,378.966,Pre,57,Rob Dawson,President and Chief Executive Officer,"At the end of Q1, our backlog was $7.1 million, up from $6.3 million at the end of the prior quarter.",0.614672754,-0.991913596,0
RFIL,2021,1,387.042,Pre,58,Rob Dawson,President and Chief Executive Officer,"Subsequent to quarter end, the backlog has continued to build and now stands at approximately $8.5 million as of today.",0.003587021,-0.988326576,0
RFIL,2021,1,395.504,Pre,59,Rob Dawson,President and Chief Executive Officer,"While not all this backlog will ship immediately, it's a good indicator of future growth and it's now significantly higher than it was mid last year.",0.999999996,0.01167342,0
RFIL,2021,1,407.768,Pre,60,Rob Dawson,President and Chief Executive Officer,"While we continue to see slower than expected project spend from the major carriers, whether due to delays or their current reallocation of spend to other things, we believe there's pent up demand that's starting to show.",-0.999118809,-0.987445388,0
RFIL,2021,1,414.602,Pre,61,Rob Dawson,President and Chief Executive Officer,The growth in our bookings and backlog is evidence that the pent-up demand is getting more tangible and the pipeline is slowly building.,0.999998935,0.012553547,0
RFIL,2021,1,427.47,Pre,62,Rob Dawson,President and Chief Executive Officer,"Our conversations around new business are becoming more fruitful, and the tone we're starting to hear from customers in the carrier ecosystem is more urgent around build timelines, though not always including exact dates.",-0.145602057,-0.13304851,0
RFIL,2021,1,436.616,Pre,63,Rob Dawson,President and Chief Executive Officer,"Specifically, we've been starting to see more customer discussions and potential scheduling of projects and CapEx-related work, as well as some new customer orders.",0.001602747,-0.131445764,0
RFIL,2021,1,446.274,Pre,64,Rob Dawson,President and Chief Executive Officer,"For example, during the quarter we saw a million dollar order for hybrid fiber cable solutions from a new carrier customer that we've never done direct business with before.",-0.009571804,-0.141017568,0
RFIL,2021,1,452.957,Pre,65,Rob Dawson,President and Chief Executive Officer,"The sales and product team in New York has worked very hard on developing that relationship, and it's nice to see real progress.",0.999999577,0.858982009,0
RFIL,2021,1,461.22,Pre,66,Rob Dawson,President and Chief Executive Officer,"Also over the last month, we've physically met with all of the tier one wireless carriers, as well as some other key players in the space.",2.70E-05,0.859008998,0
RFIL,2021,1,468.909,Pre,67,Rob Dawson,President and Chief Executive Officer,"Not only do we have relationships there, but we're executing on our sales plans and building on those relationships.",0.001840704,0.860849702,0
RFIL,2021,1,482.62,Pre,68,Rob Dawson,President and Chief Executive Officer,We've been talking about specific projects and seeing some initial purchase orders against those discussions that in some cases just get us started and in other cases position us as a trusted advisor and start to move us down the road a good bit further.,0.978894248,1.83974395,0
RFIL,2021,1,490.526,Pre,69,Rob Dawson,President and Chief Executive Officer,"In many cases, we've moved from discussions into providing first articles of products and solutions and trials in-network.",-3.15E-06,1.839740803,0
RFIL,2021,1,497.367,Pre,70,Rob Dawson,President and Chief Executive Officer,And this is progress that we think can turn into hundreds of thousands or multi-millions of dollars of business over the coming years.,0.999960651,2.839701454,0
RFIL,2021,1,502.613,Pre,71,Rob Dawson,President and Chief Executive Officer,"We're happy to see the cadence moving in the right direction, although it's slower than what we all want.",0.999962596,3.83966405,0
RFIL,2021,1,507.318,Pre,72,Rob Dawson,President and Chief Executive Officer,Our backlog doesn't show the impact of true carrier CapEx spend yet.,-7.61E-05,3.839587976,0
RFIL,2021,1,514.706,Pre,73,Rob Dawson,President and Chief Executive Officer,"We're just starting to see the first pieces of that, but we believe that the beginning of the CapEx spend is what will drive our second half revenue growth.",0.999639632,4.839227608,0
RFIL,2021,1,527.812,Pre,74,Rob Dawson,President and Chief Executive Officer,"Much of this new activity is because of our increased go-to-market efforts aimed at getting in front of end-user customers, influencing them to include us in their plans, and then allowing them to purchase through whatever channel makes the most sense for them.",0.012041047,4.851268655,0
RFIL,2021,1,537.636,Pre,75,Rob Dawson,President and Chief Executive Officer,We're better aligned now with the carrier ecosystem and are actually going to visit with carriers in person that we probably couldn't have visited before based on our standing in the market.,0.044554116,4.895822771,0
RFIL,2021,1,545.078,Pre,76,Rob Dawson,President and Chief Executive Officer,"Looking at our various product areas and market segments, our distribution business remains solid and grew during the quarter.",0.999999998,5.895822769,0
RFIL,2021,1,558.063,Pre,77,Rob Dawson,President and Chief Executive Officer,"Our RF coax cable and connector brand and our C-Enterprise's fast-turned fiber and copper brand together make up our primary offer sold through distribution, and this business is providing an increasing baseline of sales.",0.999939744,6.895762513,0
RFIL,2021,1,566.648,Pre,78,Rob Dawson,President and Chief Executive Officer,"In the first quarter, distribution sales accounted for more than $6 million of our $10 million in total sales, and we were up about 15% or $800,000 from the first quarter last year.",0.999996644,7.895759157,0
RFIL,2021,1,580.263,Pre,79,Rob Dawson,President and Chief Executive Officer,"As I've noted before, during the past few years, we've successfully strengthened and increased the diversity of our distribution channels, which has been a great benefit to us through this difficult period.",0.999999996,8.895759153,0
RFIL,2021,1,588.791,Pre,80,Rob Dawson,President and Chief Executive Officer,"Much of this progress has been masked by higher sales to some concentrated customers, but the healthy base that's been building here is a testament to our strategy.",0.999997441,9.895756593,0
RFIL,2021,1,604.573,Pre,81,Rob Dawson,President and Chief Executive Officer,"In our custom cabling business and wiring harness product areas, At the Cables Unlimited and Reltech brands, we're starting to see some nice-sized blanket orders and continue to see recovery with our large blue-chip customer base, working to get back to more normalized levels.",0.999998063,10.89575466,0
RFIL,2021,1,614.297,Pre,82,Rob Dawson,President and Chief Executive Officer,"In this business, we build very involved harnesses and custom cabling designs, primarily for large manufacturers, where our cables are used inside their equipment.",-3.17E-06,10.89575149,0
RFIL,2021,1,622.401,Pre,83,Rob Dawson,President and Chief Executive Officer,"Some of the key market segments included here are industrial manufacturers, transportation, energy, and defense, in addition to telecoms.",-3.32E-06,10.89574817,0
RFIL,2021,1,634.004,Pre,84,Rob Dawson,President and Chief Executive Officer,"We continue to see a recovery with these customers in the Northeast, and we've seen a nice increase in our work with defense contractors and other related customers on projects in the last few months.",0.999999578,11.89574775,0
RFIL,2021,1,638.225,Pre,85,Rob Dawson,President and Chief Executive Officer,We expect these opportunities to provide some new revenue streams in the coming quarters.,0.999788613,12.89553636,0
RFIL,2021,1,642.007,Pre,86,Rob Dawson,President and Chief Executive Officer,"In DAC and small cell, nothing has changed.",-0.0011608,12.89437556,0
RFIL,2021,1,647.548,Pre,87,Rob Dawson,President and Chief Executive Officer,"Those are still huge opportunities, and we expect they will turn into revenue in the second half of the year and beyond.",0.99999925,13.89437481,0
RFIL,2021,1,655.239,Pre,88,Rob Dawson,President and Chief Executive Officer,"Several carriers just spent a ton of money on new spectrum in the C-band auction, and they're going to need the infrastructure to make it all work.",-0.000466361,13.89390845,0
RFIL,2021,1,657.5,Pre,89,Rob Dawson,President and Chief Executive Officer,"And eventually, the spend is going to happen.",-0.000180723,13.89372773,0
RFIL,2021,1,660.4,Pre,90,Rob Dawson,President and Chief Executive Officer,"Has it taken longer than we expected? Yes, of course.",-0.43846609,13.45526164,0
RFIL,2021,1,666.382,Pre,91,Rob Dawson,President and Chief Executive Officer,"But it's not a matter of if, it's a matter of when, especially on the network densification side.",-0.001021052,13.45424059,0
RFIL,2021,1,670.443,Pre,92,Rob Dawson,President and Chief Executive Officer,"As I've discussed on the past couple of calls, the big U.S.",-0.003144036,13.45109655,0
RFIL,2021,1,681.505,Pre,93,Rob Dawson,President and Chief Executive Officer,"carriers have been spending on other projects or deployment models in the last few quarters, and the shift in network demand related to remote work has increased this focus away from mobile densification plays like small cells.",-0.006156232,13.44494032,0
RFIL,2021,1,686.365,Pre,94,Rob Dawson,President and Chief Executive Officer,"As a result, we haven't yet seen the large capex that we expect for small cell deployments.",-0.001336439,13.44360388,0
RFIL,2021,1,700.476,Pre,95,Rob Dawson,President and Chief Executive Officer,"We believe that with the recent C-band auction spend, there will be increased demand for network augmentation using these newly available frequencies to complement the millimeter wave deployments that have been ongoing but have had their share of technical challenges.",0.0008862,13.44449008,0
RFIL,2021,1,705.14,Pre,96,Rob Dawson,President and Chief Executive Officer,More than $81 billion was spent on C-band spectrum.,-8.61E-07,13.44448922,0
RFIL,2021,1,715.351,Pre,97,Rob Dawson,President and Chief Executive Officer,Several industry experts have noted that the millimeter wave performance issue and the C-band auction have given carriers a reason to pause and reexamine their deployment plans.,-0.999814442,12.44467478,0
RFIL,2021,1,719.952,Pre,98,Rob Dawson,President and Chief Executive Officer,Carriers are trying to also determine how to monetize 5G.,-2.41E-06,12.44467236,0
RFIL,2021,1,724.034,Pre,99,Rob Dawson,President and Chief Executive Officer,"To date, 5G deployments have not always meant additional subscriber revenue.",-0.000554935,12.44411743,0
RFIL,2021,1,726.475,Pre,100,Rob Dawson,President and Chief Executive Officer,This has also delayed small cell spend.,-0.999972381,11.44414505,0
RFIL,2021,1,729.376,Pre,101,Rob Dawson,President and Chief Executive Officer,"In the end, this could actually be a good thing for us.",0.999999743,12.44414479,0
RFIL,2021,1,734.798,Pre,102,Rob Dawson,President and Chief Executive Officer,It's given us time to build out our offering and gain the right positioning with key players in the small cell ecosystem.,0.99998382,13.44412861,0
RFIL,2021,1,740.277,Pre,103,Rob Dawson,President and Chief Executive Officer,we're in a much better position to capture small cell spend now than one to two years ago.,0.999999894,14.4441285,0
RFIL,2021,1,750.3,Pre,104,Rob Dawson,President and Chief Executive Officer,"Going forward, many industry analysts have an optimistic view of the small cell opportunity, despite the thinking that it may take a little longer for the widespread rollout to occur.",0.999642269,15.44377077,0
RFIL,2021,1,757.383,Pre,105,Rob Dawson,President and Chief Executive Officer,"We still believe heavily in densification of the carrier networks with either 4G or 5G, or potentially even something else.",-7.93E-05,15.44369149,0
RFIL,2021,1,761.445,Pre,106,Rob Dawson,President and Chief Executive Officer,"But for all the reasons we've discussed, it's taking longer than we originally anticipated.",-0.985279175,14.45841231,0
RFIL,2021,1,769.522,Pre,107,Rob Dawson,President and Chief Executive Officer,"It's important to note that even with a longer rollout, longer widespread rollout, we're still talking about a huge dollar opportunity.",0.999636646,15.45804896,0
RFIL,2021,1,778.146,Pre,108,Rob Dawson,President and Chief Executive Officer,"And as I said, we're more strongly positioned now with both our offer and our customer relationships for long-term growth once the widespread rollout does occur.",0.999999999,16.45804896,0
RFIL,2021,1,783.749,Pre,109,Rob Dawson,President and Chief Executive Officer,We continue to ship integrated small cell shrouds and installation kits into multiple carrier networks.,-5.30E-06,16.45804366,0
RFIL,2021,1,789.892,Pre,110,Rob Dawson,President and Chief Executive Officer,"Our sales activities have increased here, and we anticipate an increase in orders for small cell solutions.",0.99352096,17.45156462,0
RFIL,2021,1,797.691,Pre,111,Rob Dawson,President and Chief Executive Officer,"Finally, as I've been discussing the last few quarters, we're getting better at being a product company.",0.999999989,18.45156461,0
RFIL,2021,1,804.556,Pre,112,Rob Dawson,President and Chief Executive Officer,"To that point, we have a new small cell solution currently in the lab or field trials with multiple customers in the carrier ecosystem.",0.000110337,18.45167495,0
RFIL,2021,1,808.759,Pre,113,Rob Dawson,President and Chief Executive Officer,"These are exciting developments for us, but too early to share specifics.",0.605089171,19.05676412,0
RFIL,2021,1,810.22,Pre,114,Rob Dawson,President and Chief Executive Officer,More to come on that.,-0.001337427,19.05542669,0
RFIL,2021,1,823.243,Pre,115,Rob Dawson,President and Chief Executive Officer,"In addition to the substantial opportunity we see within small cell, our thermal cooling solutions enable us to offer a definitive value proposition centered around a better design, and clear cost and energy savings.",0.999999983,20.05542667,0
RFIL,2021,1,828.385,Pre,116,Rob Dawson,President and Chief Executive Officer,And it's allowing us to initiate a different kind of sales conversation with a new set of customers.,1.24E-06,20.05542791,0
RFIL,2021,1,837.807,Pre,117,Rob Dawson,President and Chief Executive Officer,"We see a significant opportunity for this direct ambient cooling, or DAC, offering, which plays in both traditional wireline and the wireless carriers.",0.999998082,21.05542599,0
RFIL,2021,1,845.509,Pre,118,Rob Dawson,President and Chief Executive Officer,We've recently been awarded an additional carrier approval for DAC upgrade kits for outdoor cabinets with a longstanding carrier customer.,0.998643818,22.05406981,0
RFIL,2021,1,850.811,Pre,119,Rob Dawson,President and Chief Executive Officer,And we continue to receive new orders for similar kits from multiple other North American carriers.,0.043919952,22.09798976,0
RFIL,2021,1,858.709,Pre,120,Rob Dawson,President and Chief Executive Officer,"We're also finding that our DAC solutions work well with MSOs, or multiple service operators, at the edges of their networks.",0.998538463,23.09652822,0
RFIL,2021,1,871.317,Pre,121,Rob Dawson,President and Chief Executive Officer,"As evidence of this, during the quarter, one of the largest MSOs that we had done zero business with previously placed an initial order for 22 sites using our DAC offering, which amounts to about $125,000 of new business.",0.008261603,23.10478982,0
RFIL,2021,1,880.964,Pre,122,Rob Dawson,President and Chief Executive Officer,"So I think what we're seeing right now is progress against the opportunities we've referenced, but we haven't even started to scratch the surface in dollars.",0.999916114,24.10470594,0
RFIL,2021,1,885.884,Pre,123,Rob Dawson,President and Chief Executive Officer,We expect the dollars to go up commensurate with approvals and the normal sales cycle.,0.00727445,24.11198039,0
RFIL,2021,1,888.405,Pre,124,Rob Dawson,President and Chief Executive Officer,These aren't a two-week sales cycle.,-8.51E-06,24.11197187,0
RFIL,2021,1,893.526,Pre,125,Rob Dawson,President and Chief Executive Officer,"They're six- to nine-month sales cycles, then you get approval, and then orders start to flow.",1.21E-06,24.11197309,0
RFIL,2021,1,899.468,Pre,126,Rob Dawson,President and Chief Executive Officer,"And those timeframes assume a normalized capex environment, so some of these have taken longer than we originally expected.",-0.805733651,23.30623944,0
RFIL,2021,1,908.911,Pre,127,Rob Dawson,President and Chief Executive Officer,"Managing the energy needs of cooling enclosures, cabinets, and small buildings at the edges of networks can be incredibly inefficient and therefore expensive.",-0.88796651,22.41827292,0
RFIL,2021,1,916.115,Pre,128,Rob Dawson,President and Chief Executive Officer,we can offer a much more cost-effective solution and can either start from scratch or do a retrofit of existing designs.,0.999911769,23.41818469,0
RFIL,2021,1,919.398,Pre,129,Rob Dawson,President and Chief Executive Officer,And we're seeing significant opportunities out there for both.,0.999989916,24.41817461,0
RFIL,2021,1,931.751,Pre,130,Rob Dawson,President and Chief Executive Officer,"We're also now aggressively pursuing thermal cooling opportunities across many new markets, like oil and gas, utilities, wireless ISPs, and we're seeing relevant use cases.",0.998699641,25.41687425,0
RFIL,2021,1,938.786,Pre,131,Rob Dawson,President and Chief Executive Officer,"We're working to take our DAC offering through our distribution channel to multiple utilities, oil and gas, and transportation companies.",-2.11E-07,25.41687404,0
RFIL,2021,1,942.869,Pre,132,Rob Dawson,President and Chief Executive Officer,And we currently have active discussions ongoing with two large regional utilities.,-4.47E-05,25.41682938,0
RFIL,2021,1,950.073,Pre,133,Rob Dawson,President and Chief Executive Officer,All of the opportunities that I mentioned are more good signs that we're starting to see real progress in our strategic sales areas.,0.99999998,26.41682936,0
RFIL,2021,1,956.998,Pre,134,Rob Dawson,President and Chief Executive Officer,"As I've said before, while not all these opportunities are producing dollars yet, we're seeing our pipelines grow.",0.999999753,27.41682912,0
RFIL,2021,1,963.204,Pre,135,Rob Dawson,President and Chief Executive Officer,"And with what we see today, we continue to expect that to lead to year-over-year revenue growth in our current fiscal 2021.",0.999998189,28.41682731,0
RFIL,2021,1,971.056,Pre,136,Rob Dawson,President and Chief Executive Officer,"On the M&A front, I've said before that our plan is to make an acquisition of a more meaningful size.",0.000734178,28.41756148,0
RFIL,2021,1,974.716,Pre,137,Rob Dawson,President and Chief Executive Officer,We continue to review and add to a pipeline of potential candidates.,6.36E-05,28.41762505,0
RFIL,2021,1,981.838,Pre,138,Rob Dawson,President and Chief Executive Officer,"We're committed to M&A activity this year, and we've had some conversations that have progressed from where we were last quarter at this time.",-1.95E-06,28.4176231,0
RFIL,2021,1,994.019,Pre,139,Rob Dawson,President and Chief Executive Officer,"To underscore our commitment, we recently added a strategy and M&A committee to our board, which is headed by our recently added new board member, Mark Holdsworth, who has extensive experience in M&A and investing.",0.280549794,28.69817289,0
RFIL,2021,1,1001.74,Pre,140,Rob Dawson,President and Chief Executive Officer,"We set up the committee specifically focused on helping our M&A strategy, and we think the potential deal flow will continue to increase.",0.953191683,29.65136457,0
RFIL,2021,1,1019.526,Pre,141,Rob Dawson,President and Chief Executive Officer,"In summary, while this quarter continued to be a challenge, we remained very focused on our long-term game plan to build a sustainable, long-term engine for growth, Even through the disruptions, we've invested smartly in resources to accelerate our growth and come out stronger on the other side.",-0.57733415,29.07403042,0
RFIL,2021,1,1028.39,Pre,142,Rob Dawson,President and Chief Executive Officer,"As a result, we have more effectively positioned ourselves to drive demand creation and expand our participation in the different buckets of CapEx spend.",0.999999627,30.07403005,0
RFIL,2021,1,1035.953,Pre,143,Rob Dawson,President and Chief Executive Officer,Our longstanding and broad interconnect offer of coaxial fiber and copper solutions continues to be a workhorse.,0.988394708,31.06242476,0
RFIL,2021,1,1044.439,Pre,144,Rob Dawson,President and Chief Executive Officer,"and where we add our newer integrated system offering in DAC and small cell, we see a growing opportunity to drive into new market segments and customers.",0.999999269,32.06242403,0
RFIL,2021,1,1055.046,Pre,145,Rob Dawson,President and Chief Executive Officer,"We're seeing these investments start to bear fruit, and our overall sales pipeline continues to build in nearly all areas, which gives us confidence that things are getting better.",0.999999996,33.06242402,0
RFIL,2021,1,1065.073,Pre,146,Rob Dawson,President and Chief Executive Officer,"It's tough to predict timing on certain larger orders and the related fulfillment, but with what we know today, we're still expecting to return to year-over-year revenue growth this year.",0.999921924,34.06234595,0
RFIL,2021,1,1068.103,Pre,147,Rob Dawson,President and Chief Executive Officer,with the majority of our growth coming in the back half of the year.,0.044875911,34.10722186,0
RFIL,2021,1,1074.567,Pre,148,Rob Dawson,President and Chief Executive Officer,"With that, I'll now turn the call over to Peter for a review and discussion of the financial results for the quarter.",-0.000298651,34.10692321,0
